PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
28_large,"exp (49, 7-1.JPG)",left,b,left,C,432,incongruent,6,7_1,
28_large,"exp (31, 4-8.JPG)",right,n,right,C,440,congruent,4,4_8,
28_large,"exp (6, 1-7.JPG)",right,n,right,C,441,congruent,6,1_7,
28_large,"exp (6, 1-7.JPG)",right,n,right,C,443,congruent,6,1_7,
28_large,"exp (1, 1-2.JPG)",right,n,right,C,444,congruent,1,1_2,small pairs
28_large,"exp (57, 8-1.JPG)",left,b,left,C,447,incongruent,7,8_1,
28_large,"exp (13, 2-6.JPG)",right,n,right,C,450,congruent,4,2_6,
28_large,"exp (10, 2-3.JPG)",right,n,right,C,450,congruent,1,2_3,small pairs
28_large,"exp (17, 3-1.JPG)",left,b,left,C,451,incongruent,2,3_1,small pairs
28_large,"exp (53, 7-5.JPG)",left,b,left,C,452,incongruent,2,7_5,
28_large,"exp (31, 4-8.JPG)",right,n,right,C,458,congruent,4,4_8,
28_large,"exp (16, 2-9.JPG)",right,n,right,C,460,congruent,7,2_9,
28_large,"exp (62, 8-6.JPG)",left,b,left,C,464,incongruent,2,8_6,large pairs
28_large,"exp (18, 3-2.JPG)",left,b,left,C,467,incongruent,1,3_2,small pairs
28_large,"exp (57, 8-1.JPG)",left,b,left,C,468,incongruent,7,8_1,
28_large,"exp (5, 1-6.JPG)",right,n,right,C,468,congruent,5,1_6,
28_large,"exp (66, 9-2.JPG)",left,b,left,C,469,incongruent,7,9_2,
28_large,"exp (65, 9-1.JPG)",left,b,left,C,471,incongruent,8,9_1,
28_large,"exp (16, 2-9.JPG)",right,n,right,C,472,congruent,7,2_9,
28_large,"exp (49, 7-1.JPG)",left,b,left,C,472,incongruent,6,7_1,
28_large,"exp (24, 3-9.JPG)",right,n,right,C,472,congruent,6,3_9,
28_large,"exp (36, 5-4.JPG)",left,b,left,C,473,incongruent,1,5_4,
28_large,"exp (57, 8-1.JPG)",left,b,left,C,473,incongruent,7,8_1,
28_large,"exp (33, 5-1.JPG)",left,b,left,C,476,incongruent,4,5_1,
28_large,"exp (70, 9-6.JPG)",left,b,left,C,476,incongruent,3,9_6,large pairs
28_large,"exp (7, 1-8.JPG)",right,n,right,C,479,congruent,7,1_8,
28_large,"exp (61, 8-5.JPG)",left,b,left,C,481,incongruent,3,8_5,
28_large,"exp (58, 8-2.JPG)",left,b,left,C,482,incongruent,6,8_2,
28_large,"exp (14, 2-7.JPG)",right,n,right,C,482,congruent,5,2_7,
28_large,"exp (15, 2-8.JPG)",right,n,right,C,485,congruent,6,2_8,
28_large,"exp (49, 7-1.JPG)",left,b,left,C,491,incongruent,6,7_1,
28_large,"exp (8, 1-9.JPG)",right,n,right,C,493,congruent,8,1_9,
28_large,"exp (21, 3-6.JPG)",right,n,right,C,497,congruent,3,3_6,
28_large,"exp (14, 2-7.JPG)",right,n,right,C,497,congruent,5,2_7,
28_large,"exp (64, 8-9.JPG)",right,n,right,C,500,congruent,1,8_9,large pairs
28_large,"exp (5, 1-6.JPG)",right,n,right,C,503,congruent,5,1_6,
28_large,"exp (41, 6-1.JPG)",left,b,left,C,503,incongruent,5,6_1,
28_large,"exp (57, 8-1.JPG)",left,b,left,C,504,incongruent,7,8_1,
28_large,"exp (66, 9-2.JPG)",left,b,left,C,505,incongruent,7,9_2,
28_large,"exp (31, 4-8.JPG)",right,n,right,C,505,congruent,4,4_8,
28_large,"exp (33, 5-1.JPG)",left,b,left,C,506,incongruent,4,5_1,
28_large,"exp (11, 2-4.JPG)",right,n,right,C,508,congruent,2,2_4,small pairs
28_large,"exp (24, 3-9.JPG)",right,n,right,C,512,congruent,6,3_9,
28_large,"exp (28, 4-5.JPG)",right,n,right,C,514,congruent,1,4_5,
28_large,"exp (41, 6-1.JPG)",left,b,left,C,514,incongruent,5,6_1,
28_large,"exp (25, 4-1.JPG)",left,b,left,C,515,incongruent,3,4_1,small pairs
28_large,"exp (8, 1-9.JPG)",right,n,right,C,518,congruent,8,1_9,
