PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
16_large,"exp (17, 3-1.JPG)",left,b,left,C,417,incongruent,2,3_1,small pairs
16_large,"exp (31, 4-8.JPG)",right,n,right,C,418,congruent,4,4_8,
16_large,"exp (23, 3-8.JPG)",right,n,right,C,437,congruent,5,3_8,
16_large,"exp (5, 1-6.JPG)",right,n,right,C,441,congruent,5,1_6,
16_large,"exp (39, 5-8.JPG)",right,n,right,C,445,congruent,3,5_8,
16_large,"exp (61, 8-5.JPG)",left,b,left,C,445,incongruent,3,8_5,
16_large,"exp (27, 4-3.JPG)",left,b,left,C,446,incongruent,1,4_3,small pairs
16_large,"exp (68, 9-4.JPG)",left,b,left,C,449,incongruent,5,9_4,
16_large,"exp (4, 1-5.JPG)",right,n,right,C,450,congruent,4,1_5,
16_large,"exp (34, 5-2.JPG)",left,b,left,C,451,incongruent,3,5_2,
16_large,"exp (58, 8-2.JPG)",left,b,left,C,451,incongruent,6,8_2,
16_large,"exp (6, 1-7.JPG)",right,n,right,C,454,congruent,6,1_7,
16_large,"exp (20, 3-5.JPG)",right,n,right,C,454,congruent,2,3_5,
16_large,"exp (8, 1-9.JPG)",right,n,right,C,456,congruent,8,1_9,
16_large,"exp (4, 1-5.JPG)",right,n,right,C,457,congruent,4,1_5,
16_large,"exp (68, 9-4.JPG)",left,b,left,C,459,incongruent,5,9_4,
16_large,"exp (15, 2-8.JPG)",right,n,right,C,459,congruent,6,2_8,
16_large,"exp (6, 1-7.JPG)",right,n,right,C,460,congruent,6,1_7,
16_large,"exp (58, 8-2.JPG)",left,b,left,C,465,incongruent,6,8_2,
16_large,"exp (57, 8-1.JPG)",left,b,left,C,465,incongruent,7,8_1,
16_large,"exp (65, 9-1.JPG)",left,b,left,C,466,incongruent,8,9_1,
16_large,"exp (7, 1-8.JPG)",right,n,right,C,466,congruent,7,1_8,
16_large,"exp (21, 3-6.JPG)",right,n,right,C,467,congruent,3,3_6,
