PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
51_large,"exp (42, 6-2.JPG)",left,b,left,C,369,incongruent,4,6_2,
51_large,"exp (42, 6-2.JPG)",left,b,left,C,373,incongruent,4,6_2,
51_large,"exp (41, 6-1.JPG)",left,b,left,C,380,incongruent,5,6_1,
51_large,"exp (17, 3-1.JPG)",left,b,left,C,392,incongruent,2,3_1,small pairs
51_large,"exp (57, 8-1.JPG)",left,b,left,C,396,incongruent,7,8_1,
51_large,"exp (53, 7-5.JPG)",left,b,left,C,400,incongruent,2,7_5,
51_large,"exp (58, 8-2.JPG)",left,b,left,C,401,incongruent,6,8_2,
51_large,"exp (27, 4-3.JPG)",left,b,left,C,406,incongruent,1,4_3,small pairs
51_large,"exp (42, 6-2.JPG)",left,b,left,C,409,incongruent,4,6_2,
51_large,"exp (53, 7-5.JPG)",left,b,left,C,413,incongruent,2,7_5,
51_large,"exp (16, 2-9.JPG)",right,n,right,C,416,congruent,7,2_9,
51_large,"exp (60, 8-4.JPG)",left,b,left,C,418,incongruent,4,8_4,
51_large,"exp (49, 7-1.JPG)",left,b,left,C,420,incongruent,6,7_1,
51_large,"exp (8, 1-9.JPG)",right,n,right,C,420,congruent,8,1_9,
51_large,"exp (50, 7-2.JPG)",left,b,left,C,420,incongruent,5,7_2,
51_large,"exp (25, 4-1.JPG)",left,b,left,C,421,incongruent,3,4_1,small pairs
51_large,"exp (69, 9-5.JPG)",left,b,left,C,423,incongruent,4,9_5,
51_large,"exp (14, 2-7.JPG)",right,n,right,C,425,congruent,5,2_7,
51_large,"exp (32, 4-9.JPG)",right,n,right,C,426,congruent,5,4_9,
51_large,"exp (50, 7-2.JPG)",left,b,left,C,427,incongruent,5,7_2,
51_large,"exp (35, 5-3.JPG)",left,b,left,C,427,incongruent,2,5_3,
51_large,"exp (49, 7-1.JPG)",left,b,left,C,428,incongruent,6,7_1,
51_large,"exp (35, 5-3.JPG)",left,b,left,C,428,incongruent,2,5_3,
51_large,"exp (27, 4-3.JPG)",left,b,left,C,435,incongruent,1,4_3,small pairs
51_large,"exp (9, 2-1.JPG)",left,b,left,C,437,incongruent,1,2_1,small pairs
51_large,"exp (5, 1-6.JPG)",right,n,right,C,442,congruent,5,1_6,
51_large,"exp (57, 8-1.JPG)",left,b,left,C,442,incongruent,7,8_1,
51_large,"exp (33, 5-1.JPG)",left,b,left,C,442,incongruent,4,5_1,
51_large,"exp (26, 4-2.JPG)",left,b,left,C,442,incongruent,2,4_2,small pairs
51_large,"exp (51, 7-3.JPG)",left,b,left,C,444,incongruent,4,7_3,
51_large,"exp (68, 9-4.JPG)",left,b,left,C,446,incongruent,5,9_4,
51_large,"exp (69, 9-5.JPG)",left,b,left,C,448,incongruent,4,9_5,
51_large,"exp (46, 6-7.JPG)",right,n,right,C,448,congruent,1,6_7,large pairs
51_large,"exp (33, 5-1.JPG)",left,b,left,C,449,incongruent,4,5_1,
51_large,"exp (66, 9-2.JPG)",left,b,left,C,449,incongruent,7,9_2,
51_large,"exp (65, 9-1.JPG)",left,b,left,C,450,incongruent,8,9_1,
51_large,"exp (58, 8-2.JPG)",left,b,left,C,450,incongruent,6,8_2,
51_large,"exp (33, 5-1.JPG)",left,b,left,C,451,incongruent,4,5_1,
51_large,"exp (9, 2-1.JPG)",left,b,left,C,452,incongruent,1,2_1,small pairs
51_large,"exp (7, 1-8.JPG)",right,n,right,C,452,congruent,7,1_8,
51_large,"exp (4, 1-5.JPG)",right,n,right,C,452,congruent,4,1_5,
51_large,"exp (9, 2-1.JPG)",left,b,left,C,453,incongruent,1,2_1,small pairs
51_large,"exp (46, 6-7.JPG)",right,n,right,C,455,congruent,1,6_7,large pairs
51_large,"exp (52, 7-4.JPG)",left,b,left,C,455,incongruent,3,7_4,
51_large,"exp (37, 5-6.JPG)",right,n,right,C,456,congruent,1,5_6,
51_large,"exp (40, 5-9.JPG)",right,n,right,C,456,congruent,4,5_9,
51_large,"exp (34, 5-2.JPG)",left,b,left,C,456,incongruent,3,5_2,
51_large,"exp (60, 8-4.JPG)",left,b,left,C,456,incongruent,4,8_4,
51_large,"exp (5, 1-6.JPG)",right,n,right,C,456,congruent,5,1_6,
51_large,"exp (34, 5-2.JPG)",left,b,left,C,458,incongruent,3,5_2,
51_large,"exp (59, 8-3.JPG)",left,b,left,C,458,incongruent,5,8_3,
51_large,"exp (12, 2-5.JPG)",right,n,right,C,458,congruent,3,2_5,
51_large,"exp (66, 9-2.JPG)",left,b,left,C,459,incongruent,7,9_2,
51_large,"exp (41, 6-1.JPG)",left,b,left,C,459,incongruent,5,6_1,
51_large,"exp (8, 1-9.JPG)",right,n,right,C,460,congruent,8,1_9,
51_large,"exp (69, 9-5.JPG)",left,b,left,C,462,incongruent,4,9_5,
51_large,"exp (43, 6-3.JPG)",left,b,left,C,463,incongruent,3,6_3,
51_large,"exp (60, 8-4.JPG)",left,b,left,C,463,incongruent,4,8_4,
51_large,"exp (10, 2-3.JPG)",right,n,right,C,465,congruent,1,2_3,small pairs
51_large,"exp (31, 4-8.JPG)",right,n,right,C,466,congruent,4,4_8,
51_large,"exp (15, 2-8.JPG)",right,n,right,C,466,congruent,6,2_8,
51_large,"exp (14, 2-7.JPG)",right,n,right,C,470,congruent,5,2_7,
51_large,"exp (7, 1-8.JPG)",right,n,right,C,470,congruent,7,1_8,
51_large,"exp (5, 1-6.JPG)",right,n,right,C,471,congruent,5,1_6,
51_large,"exp (28, 4-5.JPG)",right,n,right,C,471,congruent,1,4_5,
51_large,"exp (52, 7-4.JPG)",left,b,left,C,471,incongruent,3,7_4,
51_large,"exp (30, 4-7.JPG)",right,n,right,C,472,congruent,3,4_7,
51_large,"exp (49, 7-1.JPG)",left,b,left,C,472,incongruent,6,7_1,
51_large,"exp (6, 1-7.JPG)",right,n,right,C,472,congruent,6,1_7,
51_large,"exp (13, 2-6.JPG)",right,n,right,C,472,congruent,4,2_6,
51_large,"exp (17, 3-1.JPG)",left,b,left,C,473,incongruent,2,3_1,small pairs
51_large,"exp (24, 3-9.JPG)",right,n,right,C,473,congruent,6,3_9,
51_large,"exp (6, 1-7.JPG)",right,n,right,C,474,congruent,6,1_7,
51_large,"exp (31, 4-8.JPG)",right,n,right,C,474,congruent,4,4_8,
51_large,"exp (34, 5-2.JPG)",left,b,left,C,474,incongruent,3,5_2,
51_large,"exp (36, 5-4.JPG)",left,b,left,C,474,incongruent,1,5_4,
51_large,"exp (40, 5-9.JPG)",right,n,right,C,475,congruent,4,5_9,
51_large,"exp (56, 7-9.JPG)",right,n,right,C,477,congruent,2,7_9,large pairs
51_large,"exp (1, 1-2.JPG)",right,n,right,C,477,congruent,1,1_2,small pairs
51_large,"exp (27, 4-3.JPG)",left,b,left,C,480,incongruent,1,4_3,small pairs
51_large,"exp (66, 9-2.JPG)",left,b,left,C,480,incongruent,7,9_2,
51_large,"exp (69, 9-5.JPG)",left,b,left,C,481,incongruent,4,9_5,
51_large,"exp (26, 4-2.JPG)",left,b,left,C,482,incongruent,2,4_2,small pairs
51_large,"exp (2, 1-3.JPG)",right,n,right,C,482,congruent,2,1_3,small pairs
51_large,"exp (2, 1-3.JPG)",right,n,right,C,483,congruent,2,1_3,small pairs
51_large,"exp (21, 3-6.JPG)",right,n,right,C,483,congruent,3,3_6,
51_large,"exp (44, 6-4.JPG)",left,b,left,C,483,incongruent,2,6_4,
51_large,"exp (2, 1-3.JPG)",right,n,right,C,484,congruent,2,1_3,small pairs
51_large,"exp (17, 3-1.JPG)",left,b,left,C,484,incongruent,2,3_1,small pairs
51_large,"exp (57, 8-1.JPG)",left,b,left,C,484,incongruent,7,8_1,
51_large,"exp (51, 7-3.JPG)",left,b,left,C,486,incongruent,4,7_3,
51_large,"exp (49, 7-1.JPG)",left,b,left,C,486,incongruent,6,7_1,
51_large,"exp (33, 5-1.JPG)",left,b,left,C,486,incongruent,4,5_1,
51_large,"exp (67, 9-3.JPG)",left,b,left,C,487,incongruent,6,9_3,
51_large,"exp (70, 9-6.JPG)",left,b,left,C,488,incongruent,3,9_6,large pairs
51_large,"exp (7, 1-8.JPG)",right,n,right,C,488,congruent,7,1_8,
51_large,"exp (58, 8-2.JPG)",left,b,left,C,488,incongruent,6,8_2,
51_large,"exp (66, 9-2.JPG)",left,b,left,C,488,incongruent,7,9_2,
51_large,"exp (53, 7-5.JPG)",left,b,left,C,488,incongruent,2,7_5,
51_large,"exp (17, 3-1.JPG)",left,b,left,C,490,incongruent,2,3_1,small pairs
51_large,"exp (42, 6-2.JPG)",left,b,left,C,490,incongruent,4,6_2,
51_large,"exp (51, 7-3.JPG)",left,b,left,C,490,incongruent,4,7_3,
51_large,"exp (21, 3-6.JPG)",right,n,right,C,490,congruent,3,3_6,
51_large,"exp (16, 2-9.JPG)",right,n,right,C,490,congruent,7,2_9,
51_large,"exp (8, 1-9.JPG)",right,n,right,C,491,congruent,8,1_9,
51_large,"exp (3, 1-4.JPG)",right,n,right,C,492,congruent,3,1_4,small pairs
51_large,"exp (52, 7-4.JPG)",left,b,left,C,492,incongruent,3,7_4,
51_large,"exp (67, 9-3.JPG)",left,b,left,C,492,incongruent,6,9_3,
51_large,"exp (14, 2-7.JPG)",right,n,right,C,493,congruent,5,2_7,
51_large,"exp (15, 2-8.JPG)",right,n,right,C,493,congruent,6,2_8,
51_large,"exp (35, 5-3.JPG)",left,b,left,C,495,incongruent,2,5_3,
51_large,"exp (16, 2-9.JPG)",right,n,right,C,496,congruent,7,2_9,
51_large,"exp (32, 4-9.JPG)",right,n,right,C,496,congruent,5,4_9,
51_large,"exp (50, 7-2.JPG)",left,b,left,C,498,incongruent,5,7_2,
51_large,"exp (6, 1-7.JPG)",right,n,right,C,499,congruent,6,1_7,
51_large,"exp (44, 6-4.JPG)",left,b,left,C,500,incongruent,2,6_4,
51_large,"exp (37, 5-6.JPG)",right,n,right,C,504,congruent,1,5_6,
51_large,"exp (14, 2-7.JPG)",right,n,right,C,504,congruent,5,2_7,
51_large,"exp (27, 4-3.JPG)",left,b,left,C,505,incongruent,1,4_3,small pairs
51_large,"exp (23, 3-8.JPG)",right,n,right,C,506,congruent,5,3_8,
51_large,"exp (22, 3-7.JPG)",right,n,right,C,506,congruent,4,3_7,
51_large,"exp (62, 8-6.JPG)",left,b,left,C,506,incongruent,2,8_6,large pairs
51_large,"exp (56, 7-9.JPG)",right,n,right,C,506,congruent,2,7_9,large pairs
51_large,"exp (20, 3-5.JPG)",right,n,right,C,506,congruent,2,3_5,
51_large,"exp (67, 9-3.JPG)",left,b,left,C,507,incongruent,6,9_3,
51_large,"exp (1, 1-2.JPG)",right,n,right,C,508,congruent,1,1_2,small pairs
51_large,"exp (26, 4-2.JPG)",left,b,left,C,508,incongruent,2,4_2,small pairs
51_large,"exp (24, 3-9.JPG)",right,n,right,C,508,congruent,6,3_9,
51_large,"exp (4, 1-5.JPG)",right,n,right,C,511,congruent,4,1_5,
51_large,"exp (69, 9-5.JPG)",left,b,left,C,511,incongruent,4,9_5,
51_large,"exp (11, 2-4.JPG)",right,n,right,C,512,congruent,2,2_4,small pairs
51_large,"exp (22, 3-7.JPG)",right,n,right,C,512,congruent,4,3_7,
51_large,"exp (13, 2-6.JPG)",right,n,right,C,512,congruent,4,2_6,
51_large,"exp (13, 2-6.JPG)",right,n,right,C,512,congruent,4,2_6,
51_large,"exp (62, 8-6.JPG)",left,b,left,C,512,incongruent,2,8_6,large pairs
51_large,"exp (52, 7-4.JPG)",left,b,left,C,513,incongruent,3,7_4,
51_large,"exp (18, 3-2.JPG)",left,b,left,C,513,incongruent,1,3_2,small pairs
51_large,"exp (68, 9-4.JPG)",left,b,left,C,514,incongruent,5,9_4,
51_large,"exp (41, 6-1.JPG)",left,b,left,C,514,incongruent,5,6_1,
51_large,"exp (9, 2-1.JPG)",left,b,left,C,514,incongruent,1,2_1,small pairs
51_large,"exp (48, 6-9.JPG)",right,n,right,C,514,congruent,3,6_9,large pairs
