PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
40_large,"exp (45, 6-5.JPG)",left,b,left,C,250,incongruent,1,6_5,
40_large,"exp (25, 4-1.JPG)",left,b,left,C,359,incongruent,3,4_1,small pairs
40_large,"exp (66, 9-2.JPG)",left,b,left,C,372,incongruent,7,9_2,
40_large,"exp (42, 6-2.JPG)",left,b,left,C,372,incongruent,4,6_2,
40_large,"exp (67, 9-3.JPG)",left,b,left,C,373,incongruent,6,9_3,
40_large,"exp (3, 1-4.JPG)",right,n,right,C,378,congruent,3,1_4,small pairs
40_large,"exp (2, 1-3.JPG)",right,n,right,C,379,congruent,2,1_3,small pairs
40_large,"exp (36, 5-4.JPG)",left,b,left,C,383,incongruent,1,5_4,
40_large,"exp (66, 9-2.JPG)",left,b,left,C,385,incongruent,7,9_2,
40_large,"exp (33, 5-1.JPG)",left,b,left,C,389,incongruent,4,5_1,
40_large,"exp (67, 9-3.JPG)",left,b,left,C,390,incongruent,6,9_3,
40_large,"exp (55, 7-8.JPG)",right,n,right,C,393,congruent,1,7_8,large pairs
40_large,"exp (8, 1-9.JPG)",right,n,right,C,396,congruent,8,1_9,
40_large,"exp (5, 1-6.JPG)",right,n,right,C,397,congruent,5,1_6,
40_large,"exp (49, 7-1.JPG)",left,b,left,C,400,incongruent,6,7_1,
40_large,"exp (35, 5-3.JPG)",left,b,left,C,400,incongruent,2,5_3,
40_large,"exp (49, 7-1.JPG)",left,b,left,C,400,incongruent,6,7_1,
40_large,"exp (26, 4-2.JPG)",left,b,left,C,401,incongruent,2,4_2,small pairs
40_large,"exp (3, 1-4.JPG)",right,n,right,C,401,congruent,3,1_4,small pairs
40_large,"exp (57, 8-1.JPG)",left,b,left,C,403,incongruent,7,8_1,
40_large,"exp (33, 5-1.JPG)",left,b,left,C,405,incongruent,4,5_1,
40_large,"exp (13, 2-6.JPG)",right,n,right,C,407,congruent,4,2_6,
40_large,"exp (41, 6-1.JPG)",left,b,left,C,408,incongruent,5,6_1,
40_large,"exp (23, 3-8.JPG)",right,n,right,C,411,congruent,5,3_8,
40_large,"exp (7, 1-8.JPG)",right,n,right,C,412,congruent,7,1_8,
40_large,"exp (65, 9-1.JPG)",left,b,left,C,412,incongruent,8,9_1,
40_large,"exp (42, 6-2.JPG)",left,b,left,C,416,incongruent,4,6_2,
40_large,"exp (4, 1-5.JPG)",right,n,right,C,416,congruent,4,1_5,
40_large,"exp (9, 2-1.JPG)",left,b,left,C,418,incongruent,1,2_1,small pairs
40_large,"exp (16, 2-9.JPG)",right,n,right,C,418,congruent,7,2_9,
40_large,"exp (6, 1-7.JPG)",right,n,right,C,420,congruent,6,1_7,
40_large,"exp (9, 2-1.JPG)",left,b,left,C,420,incongruent,1,2_1,small pairs
40_large,"exp (57, 8-1.JPG)",left,b,left,C,421,incongruent,7,8_1,
40_large,"exp (50, 7-2.JPG)",left,b,left,C,421,incongruent,5,7_2,
40_large,"exp (32, 4-9.JPG)",right,n,right,C,422,congruent,5,4_9,
40_large,"exp (17, 3-1.JPG)",left,b,left,C,422,incongruent,2,3_1,small pairs
40_large,"exp (49, 7-1.JPG)",left,b,left,C,422,incongruent,6,7_1,
40_large,"exp (8, 1-9.JPG)",right,n,right,C,424,congruent,8,1_9,
40_large,"exp (43, 6-3.JPG)",left,b,left,C,424,incongruent,3,6_3,
40_large,"exp (6, 1-7.JPG)",right,n,right,C,424,congruent,6,1_7,
40_large,"exp (5, 1-6.JPG)",right,n,right,C,426,congruent,5,1_6,
