PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
97_large,"exp (40, 5-9.JPG)",right,n,right,C,393,congruent,4,5_9,
97_large,"exp (8, 1-9.JPG)",right,n,right,C,407,congruent,8,1_9,
97_large,"exp (7, 1-8.JPG)",right,n,right,C,409,congruent,7,1_8,
97_large,"exp (37, 5-6.JPG)",right,n,right,C,410,congruent,1,5_6,
97_large,"exp (65, 9-1.JPG)",left,b,left,C,413,incongruent,8,9_1,
97_large,"exp (4, 1-5.JPG)",right,n,right,C,416,congruent,4,1_5,
97_large,"exp (24, 3-9.JPG)",right,n,right,C,419,congruent,6,3_9,
97_large,"exp (23, 3-8.JPG)",right,n,right,C,419,congruent,5,3_8,
97_large,"exp (38, 5-7.JPG)",right,n,right,C,420,congruent,2,5_7,
97_large,"exp (50, 7-2.JPG)",left,b,left,C,421,incongruent,5,7_2,
97_large,"exp (39, 5-8.JPG)",right,n,right,C,423,congruent,3,5_8,
97_large,"exp (24, 3-9.JPG)",right,n,right,C,424,congruent,6,3_9,
97_large,"exp (6, 1-7.JPG)",right,n,right,C,425,congruent,6,1_7,
97_large,"exp (21, 3-6.JPG)",right,n,right,C,427,congruent,3,3_6,
97_large,"exp (49, 7-1.JPG)",left,b,left,C,428,incongruent,6,7_1,
97_large,"exp (39, 5-8.JPG)",right,n,right,C,432,congruent,3,5_8,
97_large,"exp (9, 2-1.JPG)",left,b,left,C,434,incongruent,1,2_1,small pairs
97_large,"exp (58, 8-2.JPG)",left,b,left,C,434,incongruent,6,8_2,
97_large,"exp (32, 4-9.JPG)",right,n,right,C,435,congruent,5,4_9,
97_large,"exp (4, 1-5.JPG)",right,n,right,C,436,congruent,4,1_5,
97_large,"exp (33, 5-1.JPG)",left,b,left,C,437,incongruent,4,5_1,
97_large,"exp (41, 6-1.JPG)",left,b,left,C,437,incongruent,5,6_1,
97_large,"exp (39, 5-8.JPG)",right,n,right,C,439,congruent,3,5_8,
97_large,"exp (23, 3-8.JPG)",right,n,right,C,439,congruent,5,3_8,
97_large,"exp (21, 3-6.JPG)",right,n,right,C,439,congruent,3,3_6,
97_large,"exp (3, 1-4.JPG)",right,n,right,C,443,congruent,3,1_4,small pairs
97_large,"exp (60, 8-4.JPG)",left,b,left,C,444,incongruent,4,8_4,
97_large,"exp (24, 3-9.JPG)",right,n,right,C,446,congruent,6,3_9,
97_large,"exp (61, 8-5.JPG)",left,b,left,C,446,incongruent,3,8_5,
97_large,"exp (8, 1-9.JPG)",right,n,right,C,447,congruent,8,1_9,
97_large,"exp (9, 2-1.JPG)",left,b,left,C,453,incongruent,1,2_1,small pairs
97_large,"exp (56, 7-9.JPG)",right,n,right,C,455,congruent,2,7_9,large pairs
