PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
25_large,"exp (71, 9-7.JPG)",left,b,left,C,349,incongruent,2,9_7,large pairs
25_large,"exp (24, 3-9.JPG)",right,n,right,C,379,congruent,6,3_9,
25_large,"exp (2, 1-3.JPG)",right,n,right,C,409,congruent,2,1_3,small pairs
25_large,"exp (39, 5-8.JPG)",right,n,right,C,413,congruent,3,5_8,
25_large,"exp (21, 3-6.JPG)",right,n,right,C,413,congruent,3,3_6,
25_large,"exp (4, 1-5.JPG)",right,n,right,C,417,congruent,4,1_5,
25_large,"exp (56, 7-9.JPG)",right,n,right,C,422,congruent,2,7_9,large pairs
25_large,"exp (13, 2-6.JPG)",right,n,right,C,424,congruent,4,2_6,
25_large,"exp (8, 1-9.JPG)",right,n,right,C,432,congruent,8,1_9,
25_large,"exp (6, 1-7.JPG)",right,n,right,C,442,congruent,6,1_7,
25_large,"exp (10, 2-3.JPG)",right,n,right,C,444,congruent,1,2_3,small pairs
25_large,"exp (23, 3-8.JPG)",right,n,right,C,446,congruent,5,3_8,
25_large,"exp (16, 2-9.JPG)",right,n,right,C,447,congruent,7,2_9,
25_large,"exp (1, 1-2.JPG)",right,n,right,C,448,congruent,1,1_2,small pairs
25_large,"exp (63, 8-7.JPG)",left,b,left,C,449,incongruent,1,8_7,large pairs
25_large,"exp (10, 2-3.JPG)",right,n,right,C,450,congruent,1,2_3,small pairs
25_large,"exp (7, 1-8.JPG)",right,n,right,C,454,congruent,7,1_8,
25_large,"exp (68, 9-4.JPG)",left,b,left,C,456,incongruent,5,9_4,
25_large,"exp (4, 1-5.JPG)",right,n,right,C,457,congruent,4,1_5,
25_large,"exp (2, 1-3.JPG)",right,n,right,C,458,congruent,2,1_3,small pairs
25_large,"exp (50, 7-2.JPG)",left,b,left,C,458,incongruent,5,7_2,
25_large,"exp (12, 2-5.JPG)",right,n,right,C,459,congruent,3,2_5,
25_large,"exp (29, 4-6.JPG)",right,n,right,C,461,congruent,2,4_6,
25_large,"exp (3, 1-4.JPG)",right,n,right,C,462,congruent,3,1_4,small pairs
25_large,"exp (57, 8-1.JPG)",left,b,left,C,462,incongruent,7,8_1,
25_large,"exp (66, 9-2.JPG)",left,b,left,C,463,incongruent,7,9_2,
25_large,"exp (7, 1-8.JPG)",right,n,right,C,464,congruent,7,1_8,
25_large,"exp (11, 2-4.JPG)",right,n,right,C,465,congruent,2,2_4,small pairs
25_large,"exp (13, 2-6.JPG)",right,n,right,C,465,congruent,4,2_6,
25_large,"exp (21, 3-6.JPG)",right,n,right,C,467,congruent,3,3_6,
25_large,"exp (13, 2-6.JPG)",right,n,right,C,471,congruent,4,2_6,
25_large,"exp (34, 5-2.JPG)",left,b,left,C,473,incongruent,3,5_2,
25_large,"exp (55, 7-8.JPG)",right,n,right,C,474,congruent,1,7_8,large pairs
25_large,"exp (7, 1-8.JPG)",right,n,right,C,474,congruent,7,1_8,
25_large,"exp (1, 1-2.JPG)",right,n,right,C,475,congruent,1,1_2,small pairs
25_large,"exp (16, 2-9.JPG)",right,n,right,C,475,congruent,7,2_9,
25_large,"exp (15, 2-8.JPG)",right,n,right,C,475,congruent,6,2_8,
25_large,"exp (41, 6-1.JPG)",left,b,left,C,477,incongruent,5,6_1,
25_large,"exp (41, 6-1.JPG)",left,b,left,C,481,incongruent,5,6_1,
25_large,"exp (49, 7-1.JPG)",left,b,left,C,485,incongruent,6,7_1,
25_large,"exp (29, 4-6.JPG)",right,n,right,C,486,congruent,2,4_6,
25_large,"exp (5, 1-6.JPG)",right,n,right,C,488,congruent,5,1_6,
25_large,"exp (14, 2-7.JPG)",right,n,right,C,489,congruent,5,2_7,
25_large,"exp (66, 9-2.JPG)",left,b,left,C,489,incongruent,7,9_2,
25_large,"exp (15, 2-8.JPG)",right,n,right,C,489,congruent,6,2_8,
25_large,"exp (28, 4-5.JPG)",right,n,right,C,490,congruent,1,4_5,
25_large,"exp (8, 1-9.JPG)",right,n,right,C,491,congruent,8,1_9,
25_large,"exp (24, 3-9.JPG)",right,n,right,C,491,congruent,6,3_9,
25_large,"exp (42, 6-2.JPG)",left,b,left,C,491,incongruent,4,6_2,
25_large,"exp (4, 1-5.JPG)",right,n,right,C,493,congruent,4,1_5,
25_large,"exp (40, 5-9.JPG)",right,n,right,C,493,congruent,4,5_9,
25_large,"exp (33, 5-1.JPG)",left,b,left,C,493,incongruent,4,5_1,
25_large,"exp (15, 2-8.JPG)",right,n,right,C,493,congruent,6,2_8,
25_large,"exp (25, 4-1.JPG)",left,b,left,C,493,incongruent,3,4_1,small pairs
25_large,"exp (33, 5-1.JPG)",left,b,left,C,496,incongruent,4,5_1,
25_large,"exp (38, 5-7.JPG)",right,n,right,C,497,congruent,2,5_7,
25_large,"exp (35, 5-3.JPG)",left,b,left,C,497,incongruent,2,5_3,
25_large,"exp (21, 3-6.JPG)",right,n,right,C,497,congruent,3,3_6,
25_large,"exp (6, 1-7.JPG)",right,n,right,C,498,congruent,6,1_7,
25_large,"exp (6, 1-7.JPG)",right,n,right,C,498,congruent,6,1_7,
25_large,"exp (3, 1-4.JPG)",right,n,right,C,499,congruent,3,1_4,small pairs
25_large,"exp (65, 9-1.JPG)",left,b,left,C,499,incongruent,8,9_1,
25_large,"exp (8, 1-9.JPG)",right,n,right,C,499,congruent,8,1_9,
25_large,"exp (33, 5-1.JPG)",left,b,left,C,501,incongruent,4,5_1,
25_large,"exp (55, 7-8.JPG)",right,n,right,C,501,congruent,1,7_8,large pairs
25_large,"exp (57, 8-1.JPG)",left,b,left,C,502,incongruent,7,8_1,
