PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
102_large,"exp (9, 2-1.JPG)",left,b,left,C,368,incongruent,1,2_1,small pairs
102_large,"exp (58, 8-2.JPG)",left,b,left,C,370,incongruent,6,8_2,
102_large,"exp (25, 4-1.JPG)",left,b,left,C,376,incongruent,3,4_1,small pairs
102_large,"exp (9, 2-1.JPG)",left,b,left,C,384,incongruent,1,2_1,small pairs
102_large,"exp (49, 7-1.JPG)",left,b,left,C,384,incongruent,6,7_1,
102_large,"exp (21, 3-6.JPG)",right,n,right,C,391,congruent,3,3_6,
102_large,"exp (33, 5-1.JPG)",left,b,left,C,394,incongruent,4,5_1,
102_large,"exp (33, 5-1.JPG)",left,b,left,C,394,incongruent,4,5_1,
102_large,"exp (18, 3-2.JPG)",left,b,left,C,394,incongruent,1,3_2,small pairs
102_large,"exp (56, 7-9.JPG)",right,n,right,C,397,congruent,2,7_9,large pairs
102_large,"exp (58, 8-2.JPG)",left,b,left,C,400,incongruent,6,8_2,
102_large,"exp (7, 1-8.JPG)",right,n,right,C,400,congruent,7,1_8,
102_large,"exp (13, 2-6.JPG)",right,n,right,C,400,congruent,4,2_6,
102_large,"exp (57, 8-1.JPG)",left,b,left,C,406,incongruent,7,8_1,
102_large,"exp (42, 6-2.JPG)",left,b,left,C,407,incongruent,4,6_2,
102_large,"exp (21, 3-6.JPG)",right,n,right,C,408,congruent,3,3_6,
102_large,"exp (43, 6-3.JPG)",left,b,left,C,408,incongruent,3,6_3,
102_large,"exp (5, 1-6.JPG)",right,n,right,C,409,congruent,5,1_6,
102_large,"exp (8, 1-9.JPG)",right,n,right,C,410,congruent,8,1_9,
102_large,"exp (65, 9-1.JPG)",left,b,left,C,410,incongruent,8,9_1,
102_large,"exp (57, 8-1.JPG)",left,b,left,C,411,incongruent,7,8_1,
102_large,"exp (23, 3-8.JPG)",right,n,right,C,412,congruent,5,3_8,
102_large,"exp (22, 3-7.JPG)",right,n,right,C,413,congruent,4,3_7,
102_large,"exp (41, 6-1.JPG)",left,b,left,C,413,incongruent,5,6_1,
