PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
116_small,"exp (5, 1-6.JPG)",left,b,left,C,395,congruent,5,1_6,
116_small,"exp (24, 3-9.JPG)",left,b,left,C,424,congruent,6,3_9,
116_small,"exp (29, 4-6.JPG)",left,b,left,C,431,congruent,2,4_6,
116_small,"exp (37, 5-6.JPG)",left,b,left,C,434,congruent,1,5_6,
116_small,"exp (5, 1-6.JPG)",left,b,left,C,436,congruent,5,1_6,
116_small,"exp (22, 3-7.JPG)",left,b,left,C,444,congruent,4,3_7,
116_small,"exp (60, 8-4.JPG)",right,n,right,C,447,incongruent,4,8_4,
116_small,"exp (24, 3-9.JPG)",left,b,left,C,452,congruent,6,3_9,
116_small,"exp (7, 1-8.JPG)",left,b,left,C,456,congruent,7,1_8,
116_small,"exp (8, 1-9.JPG)",left,b,left,C,457,congruent,8,1_9,
116_small,"exp (65, 9-1.JPG)",right,n,right,C,460,incongruent,8,9_1,
116_small,"exp (49, 7-1.JPG)",right,n,right,C,460,incongruent,6,7_1,
116_small,"exp (17, 3-1.JPG)",right,n,right,C,462,incongruent,2,3_1,small pairs
116_small,"exp (43, 6-3.JPG)",right,n,right,C,463,incongruent,3,6_3,
116_small,"exp (4, 1-5.JPG)",left,b,left,C,464,congruent,4,1_5,
116_small,"exp (4, 1-5.JPG)",left,b,left,C,464,congruent,4,1_5,
116_small,"exp (9, 2-1.JPG)",right,n,right,C,466,incongruent,1,2_1,small pairs
116_small,"exp (51, 7-3.JPG)",right,n,right,C,470,incongruent,4,7_3,
116_small,"exp (46, 6-7.JPG)",left,b,left,C,470,congruent,1,6_7,large pairs
116_small,"exp (49, 7-1.JPG)",right,n,right,C,470,incongruent,6,7_1,
116_small,"exp (37, 5-6.JPG)",left,b,left,C,470,congruent,1,5_6,
116_small,"exp (57, 8-1.JPG)",right,n,right,C,472,incongruent,7,8_1,
116_small,"exp (16, 2-9.JPG)",left,b,left,C,472,congruent,7,2_9,
116_small,"exp (41, 6-1.JPG)",right,n,right,C,474,incongruent,5,6_1,
116_small,"exp (25, 4-1.JPG)",right,n,right,C,476,incongruent,3,4_1,small pairs
116_small,"exp (24, 3-9.JPG)",left,b,left,C,476,congruent,6,3_9,
116_small,"exp (1, 1-2.JPG)",left,b,left,C,476,congruent,1,1_2,small pairs
116_small,"exp (32, 4-9.JPG)",left,b,left,C,476,congruent,5,4_9,
116_small,"exp (2, 1-3.JPG)",left,b,left,C,478,congruent,2,1_3,small pairs
116_small,"exp (7, 1-8.JPG)",left,b,left,C,479,congruent,7,1_8,
116_small,"exp (41, 6-1.JPG)",right,n,right,C,480,incongruent,5,6_1,
116_small,"exp (11, 2-4.JPG)",left,b,left,C,482,congruent,2,2_4,small pairs
116_small,"exp (3, 1-4.JPG)",left,b,left,C,482,congruent,3,1_4,small pairs
116_small,"exp (39, 5-8.JPG)",left,b,left,C,482,congruent,3,5_8,
116_small,"exp (52, 7-4.JPG)",right,n,right,C,484,incongruent,3,7_4,
116_small,"exp (38, 5-7.JPG)",left,b,left,C,485,congruent,2,5_7,
116_small,"exp (3, 1-4.JPG)",left,b,left,C,488,congruent,3,1_4,small pairs
116_small,"exp (13, 2-6.JPG)",left,b,left,C,488,congruent,4,2_6,
116_small,"exp (16, 2-9.JPG)",left,b,left,C,488,congruent,7,2_9,
116_small,"exp (7, 1-8.JPG)",left,b,left,C,488,congruent,7,1_8,
116_small,"exp (14, 2-7.JPG)",left,b,left,C,488,congruent,5,2_7,
116_small,"exp (20, 3-5.JPG)",left,b,left,C,489,congruent,2,3_5,
116_small,"exp (8, 1-9.JPG)",left,b,left,C,489,congruent,8,1_9,
116_small,"exp (29, 4-6.JPG)",left,b,left,C,490,congruent,2,4_6,
116_small,"exp (36, 5-4.JPG)",right,n,right,C,490,incongruent,1,5_4,
116_small,"exp (10, 2-3.JPG)",left,b,left,C,490,congruent,1,2_3,small pairs
116_small,"exp (22, 3-7.JPG)",left,b,left,C,491,congruent,4,3_7,
116_small,"exp (33, 5-1.JPG)",right,n,right,C,492,incongruent,4,5_1,
116_small,"exp (15, 2-8.JPG)",left,b,left,C,494,congruent,6,2_8,
116_small,"exp (21, 3-6.JPG)",left,b,left,C,496,congruent,3,3_6,
116_small,"exp (5, 1-6.JPG)",left,b,left,C,496,congruent,5,1_6,
116_small,"exp (1, 1-2.JPG)",left,b,left,C,497,congruent,1,1_2,small pairs
116_small,"exp (31, 4-8.JPG)",left,b,left,C,498,congruent,4,4_8,
116_small,"exp (1, 1-2.JPG)",left,b,left,C,499,congruent,1,1_2,small pairs
