PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
10_small,"exp (1, 1-2.JPG)",left,b,left,C,466,congruent,1,1_2,small pairs
10_small,"exp (1, 1-2.JPG)",left,b,left,C,468,congruent,1,1_2,small pairs
10_small,"exp (19, 3-4.JPG)",left,b,left,C,498,congruent,1,3_4,small pairs
10_small,"exp (19, 3-4.JPG)",left,b,left,C,504,congruent,1,3_4,small pairs
10_small,"exp (1, 1-2.JPG)",left,b,left,C,506,congruent,1,1_2,small pairs
10_small,"exp (37, 5-6.JPG)",left,b,left,C,513,congruent,1,5_6,
10_small,"exp (10, 2-3.JPG)",left,b,left,C,513,congruent,1,2_3,small pairs
10_small,"exp (10, 2-3.JPG)",left,b,left,C,524,congruent,1,2_3,small pairs
10_small,"exp (10, 2-3.JPG)",left,b,left,C,530,congruent,1,2_3,small pairs
10_small,"exp (55, 7-8.JPG)",left,b,left,C,530,congruent,1,7_8,large pairs
10_small,"exp (37, 5-6.JPG)",left,b,left,C,538,congruent,1,5_6,
10_small,"exp (19, 3-4.JPG)",left,b,left,C,544,congruent,1,3_4,small pairs
10_small,"exp (1, 1-2.JPG)",left,b,left,C,548,congruent,1,1_2,small pairs
10_small,"exp (19, 3-4.JPG)",left,b,left,C,552,congruent,1,3_4,small pairs
10_small,"exp (1, 1-2.JPG)",left,b,left,C,560,congruent,1,1_2,small pairs
10_small,"exp (10, 2-3.JPG)",left,b,left,C,582,congruent,1,2_3,small pairs
10_small,"exp (28, 4-5.JPG)",left,b,left,C,584,congruent,1,4_5,
10_small,"exp (37, 5-6.JPG)",left,b,left,C,594,congruent,1,5_6,
10_small,"exp (64, 8-9.JPG)",left,b,left,C,600,congruent,1,8_9,large pairs
10_small,"exp (19, 3-4.JPG)",left,b,left,C,606,congruent,1,3_4,small pairs
10_small,"exp (37, 5-6.JPG)",left,b,left,C,622,congruent,1,5_6,
10_small,"exp (55, 7-8.JPG)",left,b,left,C,649,congruent,1,7_8,large pairs
10_small,"exp (37, 5-6.JPG)",left,b,left,C,654,congruent,1,5_6,
10_small,"exp (46, 6-7.JPG)",left,b,left,C,657,congruent,1,6_7,large pairs
10_small,"exp (28, 4-5.JPG)",left,b,left,C,698,congruent,1,4_5,
10_small,"exp (55, 7-8.JPG)",left,b,left,C,699,congruent,1,7_8,large pairs
10_small,"exp (46, 6-7.JPG)",left,b,left,C,724,congruent,1,6_7,large pairs
10_small,"exp (10, 2-3.JPG)",left,b,left,C,779,congruent,1,2_3,small pairs
10_small,"exp (28, 4-5.JPG)",left,b,left,C,780,congruent,1,4_5,
10_small,"exp (46, 6-7.JPG)",left,b,left,C,836,congruent,1,6_7,large pairs
10_small,"exp (64, 8-9.JPG)",left,b,left,C,844,congruent,1,8_9,large pairs
10_small,"exp (55, 7-8.JPG)",left,b,left,C,870,congruent,1,7_8,large pairs
