PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
5_small,"exp (37, 5-6.JPG)",left,b,left,C,494,congruent,1,5_6,
5_small,"exp (1, 1-2.JPG)",left,b,left,C,537,congruent,1,1_2,small pairs
5_small,"exp (1, 1-2.JPG)",left,b,left,C,560,congruent,1,1_2,small pairs
5_small,"exp (19, 3-4.JPG)",left,b,left,C,561,congruent,1,3_4,small pairs
5_small,"exp (1, 1-2.JPG)",left,b,left,C,573,congruent,1,1_2,small pairs
5_small,"exp (10, 2-3.JPG)",left,b,left,C,592,congruent,1,2_3,small pairs
5_small,"exp (46, 6-7.JPG)",left,b,left,C,627,congruent,1,6_7,large pairs
5_small,"exp (46, 6-7.JPG)",left,b,left,C,629,congruent,1,6_7,large pairs
5_small,"exp (37, 5-6.JPG)",left,b,left,C,646,congruent,1,5_6,
5_small,"exp (37, 5-6.JPG)",left,b,left,C,701,congruent,1,5_6,
5_small,"exp (46, 6-7.JPG)",left,b,left,C,704,congruent,1,6_7,large pairs
5_small,"exp (37, 5-6.JPG)",left,b,left,C,709,congruent,1,5_6,
5_small,"exp (55, 7-8.JPG)",left,b,left,C,719,congruent,1,7_8,large pairs
5_small,"exp (28, 4-5.JPG)",left,b,left,C,725,congruent,1,4_5,
5_small,"exp (64, 8-9.JPG)",left,b,left,C,727,congruent,1,8_9,large pairs
5_small,"exp (1, 1-2.JPG)",left,b,left,C,757,congruent,1,1_2,small pairs
5_small,"exp (46, 6-7.JPG)",left,b,left,C,773,congruent,1,6_7,large pairs
5_small,"exp (28, 4-5.JPG)",left,b,left,C,779,congruent,1,4_5,
5_small,"exp (1, 1-2.JPG)",left,b,left,C,783,congruent,1,1_2,small pairs
5_small,"exp (10, 2-3.JPG)",left,b,left,C,797,congruent,1,2_3,small pairs
5_small,"exp (46, 6-7.JPG)",left,b,left,C,802,congruent,1,6_7,large pairs
5_small,"exp (10, 2-3.JPG)",left,b,left,C,825,congruent,1,2_3,small pairs
5_small,"exp (55, 7-8.JPG)",left,b,left,C,831,congruent,1,7_8,large pairs
5_small,"exp (19, 3-4.JPG)",left,b,left,C,848,congruent,1,3_4,small pairs
5_small,"exp (64, 8-9.JPG)",left,b,left,C,853,congruent,1,8_9,large pairs
5_small,"exp (55, 7-8.JPG)",left,b,left,C,873,congruent,1,7_8,large pairs
5_small,"exp (19, 3-4.JPG)",left,b,left,C,903,congruent,1,3_4,small pairs
5_small,"exp (10, 2-3.JPG)",left,b,left,C,913,congruent,1,2_3,small pairs
5_small,"exp (28, 4-5.JPG)",left,b,left,C,921,congruent,1,4_5,
5_small,"exp (64, 8-9.JPG)",left,b,left,C,947,congruent,1,8_9,large pairs
5_small,"exp (28, 4-5.JPG)",left,b,left,C,969,congruent,1,4_5,
5_small,"exp (28, 4-5.JPG)",left,b,left,C,971,congruent,1,4_5,
5_small,"exp (19, 3-4.JPG)",left,b,left,C,1010,congruent,1,3_4,small pairs
5_small,"exp (64, 8-9.JPG)",left,b,left,C,1052,congruent,1,8_9,large pairs
5_small,"exp (55, 7-8.JPG)",left,b,left,C,1191,congruent,1,7_8,large pairs
5_small,"exp (64, 8-9.JPG)",left,b,left,C,1249,congruent,1,8_9,large pairs
5_small,"exp (9, 2-1.JPG)",right,n,right,C,511,incongruent,1,2_1,small pairs
5_small,"exp (36, 5-4.JPG)",right,n,right,C,533,incongruent,1,5_4,
5_small,"exp (18, 3-2.JPG)",right,n,right,C,555,incongruent,1,3_2,small pairs
5_small,"exp (72, 9-8.JPG)",right,n,right,C,565,incongruent,1,9_8,large pairs
5_small,"exp (27, 4-3.JPG)",right,n,right,C,583,incongruent,1,4_3,small pairs
5_small,"exp (36, 5-4.JPG)",right,n,right,C,599,incongruent,1,5_4,
5_small,"exp (9, 2-1.JPG)",right,n,right,C,609,incongruent,1,2_1,small pairs
5_small,"exp (36, 5-4.JPG)",right,n,right,C,673,incongruent,1,5_4,
5_small,"exp (18, 3-2.JPG)",right,n,right,C,676,incongruent,1,3_2,small pairs
5_small,"exp (9, 2-1.JPG)",right,n,right,C,687,incongruent,1,2_1,small pairs
5_small,"exp (45, 6-5.JPG)",right,n,right,C,691,incongruent,1,6_5,
5_small,"exp (54, 7-6.JPG)",right,n,right,C,717,incongruent,1,7_6,large pairs
5_small,"exp (18, 3-2.JPG)",right,n,right,C,728,incongruent,1,3_2,small pairs
5_small,"exp (72, 9-8.JPG)",right,n,right,C,778,incongruent,1,9_8,large pairs
5_small,"exp (27, 4-3.JPG)",right,n,right,C,788,incongruent,1,4_3,small pairs
5_small,"exp (45, 6-5.JPG)",right,n,right,C,814,incongruent,1,6_5,
5_small,"exp (18, 3-2.JPG)",right,n,right,C,817,incongruent,1,3_2,small pairs
5_small,"exp (27, 4-3.JPG)",right,n,right,C,835,incongruent,1,4_3,small pairs
5_small,"exp (63, 8-7.JPG)",right,n,right,C,840,incongruent,1,8_7,large pairs
5_small,"exp (72, 9-8.JPG)",right,n,right,C,855,incongruent,1,9_8,large pairs
5_small,"exp (54, 7-6.JPG)",right,n,right,C,871,incongruent,1,7_6,large pairs
5_small,"exp (45, 6-5.JPG)",right,n,right,C,871,incongruent,1,6_5,
5_small,"exp (9, 2-1.JPG)",right,n,right,C,871,incongruent,1,2_1,small pairs
5_small,"exp (54, 7-6.JPG)",right,n,right,C,888,incongruent,1,7_6,large pairs
5_small,"exp (36, 5-4.JPG)",right,n,right,C,893,incongruent,1,5_4,
5_small,"exp (27, 4-3.JPG)",right,n,right,C,911,incongruent,1,4_3,small pairs
5_small,"exp (18, 3-2.JPG)",right,n,right,C,911,incongruent,1,3_2,small pairs
5_small,"exp (63, 8-7.JPG)",right,n,right,C,924,incongruent,1,8_7,large pairs
5_small,"exp (27, 4-3.JPG)",right,n,right,C,925,incongruent,1,4_3,small pairs
5_small,"exp (36, 5-4.JPG)",right,n,right,C,937,incongruent,1,5_4,
5_small,"exp (45, 6-5.JPG)",right,n,right,C,949,incongruent,1,6_5,
5_small,"exp (63, 8-7.JPG)",right,n,right,C,959,incongruent,1,8_7,large pairs
5_small,"exp (72, 9-8.JPG)",right,n,right,C,962,incongruent,1,9_8,large pairs
5_small,"exp (72, 9-8.JPG)",right,n,right,C,1040,incongruent,1,9_8,large pairs
