PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
67_small,"exp (28, 4-5.JPG)",left,b,left,C,402,congruent,1,4_5,
67_small,"exp (16, 2-9.JPG)",left,b,left,C,406,congruent,7,2_9,
67_small,"exp (25, 4-1.JPG)",right,n,right,C,426,incongruent,3,4_1,small pairs
67_small,"exp (65, 9-1.JPG)",right,n,right,C,433,incongruent,8,9_1,
67_small,"exp (59, 8-3.JPG)",right,n,right,C,434,incongruent,5,8_3,
67_small,"exp (57, 8-1.JPG)",right,n,right,C,436,incongruent,7,8_1,
67_small,"exp (57, 8-1.JPG)",right,n,right,C,449,incongruent,7,8_1,
67_small,"exp (62, 8-6.JPG)",right,n,right,C,452,incongruent,2,8_6,large pairs
67_small,"exp (9, 2-1.JPG)",right,n,right,C,453,incongruent,1,2_1,small pairs
67_small,"exp (42, 6-2.JPG)",right,n,right,C,460,incongruent,4,6_2,
67_small,"exp (58, 8-2.JPG)",right,n,right,C,460,incongruent,6,8_2,
67_small,"exp (2, 1-3.JPG)",left,b,left,C,464,congruent,2,1_3,small pairs
67_small,"exp (6, 1-7.JPG)",left,b,left,C,466,congruent,6,1_7,
67_small,"exp (66, 9-2.JPG)",right,n,right,C,467,incongruent,7,9_2,
67_small,"exp (37, 5-6.JPG)",left,b,left,C,470,congruent,1,5_6,
67_small,"exp (69, 9-5.JPG)",right,n,right,C,470,incongruent,4,9_5,
67_small,"exp (8, 1-9.JPG)",left,b,left,C,471,congruent,8,1_9,
67_small,"exp (63, 8-7.JPG)",right,n,right,C,472,incongruent,1,8_7,large pairs
67_small,"exp (34, 5-2.JPG)",right,n,right,C,474,incongruent,3,5_2,
67_small,"exp (4, 1-5.JPG)",left,b,left,C,476,congruent,4,1_5,
67_small,"exp (1, 1-2.JPG)",left,b,left,C,476,congruent,1,1_2,small pairs
67_small,"exp (50, 7-2.JPG)",right,n,right,C,476,incongruent,5,7_2,
67_small,"exp (51, 7-3.JPG)",right,n,right,C,480,incongruent,4,7_3,
