PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
38_small,"exp (3, 1-4.JPG)",left,b,left,C,367,congruent,3,1_4,small pairs
38_small,"exp (10, 2-3.JPG)",left,b,left,C,378,congruent,1,2_3,small pairs
38_small,"exp (6, 1-7.JPG)",left,b,left,C,407,congruent,6,1_7,
38_small,"exp (3, 1-4.JPG)",left,b,left,C,408,congruent,3,1_4,small pairs
38_small,"exp (1, 1-2.JPG)",left,b,left,C,415,congruent,1,1_2,small pairs
38_small,"exp (21, 3-6.JPG)",left,b,left,C,416,congruent,3,3_6,
38_small,"exp (7, 1-8.JPG)",left,b,left,C,419,congruent,7,1_8,
38_small,"exp (13, 2-6.JPG)",left,b,left,C,422,congruent,4,2_6,
38_small,"exp (3, 1-4.JPG)",left,b,left,C,425,congruent,3,1_4,small pairs
38_small,"exp (4, 1-5.JPG)",left,b,left,C,430,congruent,4,1_5,
38_small,"exp (7, 1-8.JPG)",left,b,left,C,433,congruent,7,1_8,
38_small,"exp (11, 2-4.JPG)",left,b,left,C,434,congruent,2,2_4,small pairs
38_small,"exp (13, 2-6.JPG)",left,b,left,C,442,congruent,4,2_6,
38_small,"exp (15, 2-8.JPG)",left,b,left,C,442,congruent,6,2_8,
38_small,"exp (4, 1-5.JPG)",left,b,left,C,444,congruent,4,1_5,
38_small,"exp (5, 1-6.JPG)",left,b,left,C,447,congruent,5,1_6,
38_small,"exp (1, 1-2.JPG)",left,b,left,C,448,congruent,1,1_2,small pairs
38_small,"exp (28, 4-5.JPG)",left,b,left,C,453,congruent,1,4_5,
38_small,"exp (8, 1-9.JPG)",left,b,left,C,456,congruent,8,1_9,
38_small,"exp (12, 2-5.JPG)",left,b,left,C,462,congruent,3,2_5,
38_small,"exp (10, 2-3.JPG)",left,b,left,C,474,congruent,1,2_3,small pairs
38_small,"exp (16, 2-9.JPG)",left,b,left,C,474,congruent,7,2_9,
38_small,"exp (3, 1-4.JPG)",left,b,left,C,475,congruent,3,1_4,small pairs
38_small,"exp (2, 1-3.JPG)",left,b,left,C,476,congruent,2,1_3,small pairs
38_small,"exp (30, 4-7.JPG)",left,b,left,C,476,congruent,3,4_7,
38_small,"exp (1, 1-2.JPG)",left,b,left,C,481,congruent,1,1_2,small pairs
38_small,"exp (13, 2-6.JPG)",left,b,left,C,484,congruent,4,2_6,
38_small,"exp (5, 1-6.JPG)",left,b,left,C,486,congruent,5,1_6,
38_small,"exp (23, 3-8.JPG)",left,b,left,C,486,congruent,5,3_8,
38_small,"exp (19, 3-4.JPG)",left,b,left,C,487,congruent,1,3_4,small pairs
38_small,"exp (10, 2-3.JPG)",left,b,left,C,488,congruent,1,2_3,small pairs
38_small,"exp (7, 1-8.JPG)",left,b,left,C,489,congruent,7,1_8,
38_small,"exp (24, 3-9.JPG)",left,b,left,C,489,congruent,6,3_9,
38_small,"exp (20, 3-5.JPG)",left,b,left,C,490,congruent,2,3_5,
38_small,"exp (11, 2-4.JPG)",left,b,left,C,493,congruent,2,2_4,small pairs
38_small,"exp (12, 2-5.JPG)",left,b,left,C,497,congruent,3,2_5,
38_small,"exp (5, 1-6.JPG)",left,b,left,C,499,congruent,5,1_6,
38_small,"exp (15, 2-8.JPG)",left,b,left,C,501,congruent,6,2_8,
38_small,"exp (14, 2-7.JPG)",left,b,left,C,502,congruent,5,2_7,
38_small,"exp (7, 1-8.JPG)",left,b,left,C,503,congruent,7,1_8,
38_small,"exp (10, 2-3.JPG)",left,b,left,C,503,congruent,1,2_3,small pairs
38_small,"exp (15, 2-8.JPG)",left,b,left,C,505,congruent,6,2_8,
38_small,"exp (6, 1-7.JPG)",left,b,left,C,508,congruent,6,1_7,
38_small,"exp (6, 1-7.JPG)",left,b,left,C,510,congruent,6,1_7,
