PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
75_small,"exp (57, 8-1.JPG)",right,n,right,C,378,incongruent,7,8_1,
75_small,"exp (31, 4-8.JPG)",left,b,left,C,378,congruent,4,4_8,
75_small,"exp (39, 5-8.JPG)",left,b,left,C,384,congruent,3,5_8,
75_small,"exp (65, 9-1.JPG)",right,n,right,C,384,incongruent,8,9_1,
75_small,"exp (17, 3-1.JPG)",right,n,right,C,388,incongruent,2,3_1,small pairs
75_small,"exp (21, 3-6.JPG)",left,b,left,C,394,congruent,3,3_6,
75_small,"exp (42, 6-2.JPG)",right,n,right,C,395,incongruent,4,6_2,
75_small,"exp (40, 5-9.JPG)",left,b,left,C,396,congruent,4,5_9,
75_small,"exp (34, 5-2.JPG)",right,n,right,C,396,incongruent,3,5_2,
75_small,"exp (7, 1-8.JPG)",left,b,left,C,398,congruent,7,1_8,
75_small,"exp (60, 8-4.JPG)",right,n,right,C,399,incongruent,4,8_4,
75_small,"exp (66, 9-2.JPG)",right,n,right,C,400,incongruent,7,9_2,
75_small,"exp (25, 4-1.JPG)",right,n,right,C,401,incongruent,3,4_1,small pairs
75_small,"exp (42, 6-2.JPG)",right,n,right,C,402,incongruent,4,6_2,
75_small,"exp (7, 1-8.JPG)",left,b,left,C,404,congruent,7,1_8,
75_small,"exp (59, 8-3.JPG)",right,n,right,C,404,incongruent,5,8_3,
75_small,"exp (26, 4-2.JPG)",right,n,right,C,404,incongruent,2,4_2,small pairs
75_small,"exp (44, 6-4.JPG)",right,n,right,C,407,incongruent,2,6_4,
75_small,"exp (8, 1-9.JPG)",left,b,left,C,410,congruent,8,1_9,
75_small,"exp (66, 9-2.JPG)",right,n,right,C,410,incongruent,7,9_2,
75_small,"exp (17, 3-1.JPG)",right,n,right,C,410,incongruent,2,3_1,small pairs
75_small,"exp (20, 3-5.JPG)",left,b,left,C,412,congruent,2,3_5,
75_small,"exp (58, 8-2.JPG)",right,n,right,C,412,incongruent,6,8_2,
75_small,"exp (15, 2-8.JPG)",left,b,left,C,412,congruent,6,2_8,
75_small,"exp (57, 8-1.JPG)",right,n,right,C,412,incongruent,7,8_1,
75_small,"exp (31, 4-8.JPG)",left,b,left,C,416,congruent,4,4_8,
75_small,"exp (41, 6-1.JPG)",right,n,right,C,416,incongruent,5,6_1,
75_small,"exp (69, 9-5.JPG)",right,n,right,C,418,incongruent,4,9_5,
75_small,"exp (18, 3-2.JPG)",right,n,right,C,420,incongruent,1,3_2,small pairs
75_small,"exp (66, 9-2.JPG)",right,n,right,C,421,incongruent,7,9_2,
75_small,"exp (31, 4-8.JPG)",left,b,left,C,422,congruent,4,4_8,
75_small,"exp (68, 9-4.JPG)",right,n,right,C,424,incongruent,5,9_4,
75_small,"exp (26, 4-2.JPG)",right,n,right,C,424,incongruent,2,4_2,small pairs
75_small,"exp (52, 7-4.JPG)",right,n,right,C,426,incongruent,3,7_4,
75_small,"exp (2, 1-3.JPG)",left,b,left,C,426,congruent,2,1_3,small pairs
75_small,"exp (35, 5-3.JPG)",right,n,right,C,426,incongruent,2,5_3,
75_small,"exp (9, 2-1.JPG)",right,n,right,C,426,incongruent,1,2_1,small pairs
